binance_price,kucoin_price,time
0.00657800,0.006505,1515414949.512031
0.00655300,0.006505,1515414980.8465102
0.00655500,0.0065,1515415015.2518442
0.00655700,0.00650498,1515415046.483167
0.00655700,0.00650498,1515415077.814144
0.00655700,0.00650499,1515415109.252386
0.00655700,0.00650499,1515415140.586509
0.00655800,0.00651,1515415171.920615
0.00657500,0.0065499,1515415203.2539132
0.00657600,0.0065499,1515415234.4062872
0.00656100,0.0065495,1515415265.730946
0.00657500,0.00651,1515415296.863399
0.00655800,0.0065455,1515415329.119383
0.00657500,0.0065455,1515415360.646684
0.00657600,0.00658999,1515415391.869708
0.00657500,0.00658254,1515415423.3058848
0.00657400,0.0065495,1515415454.640304
0.00657000,0.0065495,1515415486.0724978
0.00657500,0.00658999,1515415517.614922
0.00655800,0.00658999,1515415548.768373
0.00656100,0.00658999,1515415580.077366
0.00656100,0.00658985,1515415611.1075919
0.00656400,0.00658915,1515415642.236983
0.00656400,0.0065495,1515415673.47923
0.00655700,0.006585,1515415704.694826
0.00655100,0.00658495,1515415736.131768
0.00655200,0.00658495,1515415767.2598138
0.00656000,0.00658495,1515415798.308853
0.00656100,0.006585,1515415829.518979
0.00657000,0.00659996,1515415860.672562
0.00656900,0.00658989,1515415891.995359
0.00656100,0.00658483,1515415923.113014
0.00656100,0.006585,1515415954.237556
0.00657300,0.00658499,1515415985.571142
0.00656500,0.00660011,1515416016.6141849
0.00657000,0.00660006,1515416047.850843
0.00657000,0.00660006,1515416082.034921
0.00654700,0.00659988,1515416113.19219
0.00654600,0.00658,1515416144.525266
0.00654600,0.00658,1515416175.6611068
0.00656000,0.00657984,1515416206.905192
0.00654200,0.00653334,1515416238.134658
0.00654400,0.00653004,1515416269.758739
0.00652600,0.0065796,1515416300.920736
0.00652900,0.00653004,1515416332.121603
0.00654700,0.00653004,1515416363.351887
0.00653300,0.00653004,1515416394.498629
0.00655000,0.00657748,1515416425.5338838
0.00655000,0.00657748,1515416456.743028
0.00654700,0.00657748,1515416487.8918688
0.00653800,0.00653005,1515416519.10412
0.00653800,0.00654881,1515416550.359373
0.00653800,0.00654881,1515416581.4800398
0.00654800,0.00654879,1515416612.650892
0.00653500,0.00654877,1515416643.752504
0.00653600,0.00653004,1515416674.9735858
0.00654800,0.00654799,1515416706.509857
0.00653800,0.00654799,1515416737.65461
0.00654900,0.00653004,1515416768.872371
0.00654900,0.00657255,1515416800.187626
0.00654800,0.00651001,1515416831.521455
0.00654900,0.00651001,1515416862.6508338
0.00655000,0.00651001,1515416893.897242
0.00655800,0.00651002,1515416925.424324
0.00655700,0.00651003,1515416956.4822881
0.00655700,0.00657926,1515416987.609914
0.00655800,0.00651003,1515417018.8327198
0.00655700,0.00651003,1515417050.041715
0.00656500,0.00651003,1515417081.171663
0.00656600,0.006544,1515417112.404512
0.00656600,0.006544,1515417143.65247
0.00657000,0.006544,1515417175.070955
0.00656800,0.00657896,1515417206.406446
0.00656700,0.00657896,1515417237.65938
0.00656500,0.0065441,1515417268.7057102
0.00657500,0.00657886,1515417299.997303
0.00657600,0.0065441,1515417331.43421
0.00657900,0.0065441,1515417362.7689018
0.00658100,0.0065441,1515417394.000406
0.00657600,0.0065441,1515417425.3337018
0.00658000,0.00654411,1515417456.4429162
0.00658000,0.00654412,1515417487.5923042
0.00658000,0.00657897,1515417518.678664
0.00658000,0.0065441,1515417549.788358
0.00658300,0.0065441,1515417581.0038762
0.00657800,0.00651023,1515417612.4307861
0.00657500,0.00651035,1515417643.675659
0.00658000,0.00657895,1515417674.918838
0.00657500,0.00657895,1515417706.240405
0.00658100,0.00657895,1515417737.4485471
0.00658200,0.00655,1515417768.7027998
0.00658300,0.00655001,1515417799.85157
0.00659300,0.00655,1515417831.065301
0.00660400,0.00655,1515417862.401255
0.00659900,0.00655,1515417893.5469172
0.00659900,0.00655,1515417924.864557
0.00659800,0.00655,1515417956.094927
0.00659400,0.00655,1515417987.345588
0.00660000,0.00655,1515418018.558248
0.00660100,0.00657897,1515418049.895624
0.00660300,0.00662994,1515418081.0237281
0.00660400,0.00662994,1515418112.072166
0.00657800,0.00655005,1515418143.196081
0.00658100,0.00655005,1515418174.618135
0.00658100,0.00655005,1515418205.848804
0.00658300,0.00657897,1515418237.0808918
0.00666100,0.00657897,1515418268.58346
0.00662300,0.00662974,1515418299.675873
0.00662900,0.00662974,1515418330.879936
0.00663200,0.00667899,1515418361.94941
0.00662300,0.00665992,1515418392.993809
0.00661800,0.00665992,1515418424.09693
0.00662000,0.00665992,1515418455.294271
0.00662200,0.00665992,1515418486.732971
0.00662500,0.00665956,1515418518.067607
0.00662500,0.0066595,1515418549.213291
0.00662100,0.00665784,1515418580.432251
0.00661900,0.00659922,1515418613.4735749
0.00662000,0.00665683,1515418644.7432692
0.00662500,0.00665683,1515418675.969005
0.00662300,0.00665647,1515418707.114084
0.00662800,0.00665635,1515418738.345598
0.00662800,0.00665634,1515418769.563021
0.00663300,0.00665634,1515418800.7208629
0.00663500,0.00659004,1515418831.9258518
0.00663400,0.00665664,1515418862.9857159
0.00661900,0.00659005,1515418894.186283
0.00663000,0.00659005,1515418925.4472141
0.00656300,0.00664988,1515418957.26453
0.00658800,0.00664988,1515418988.50949
0.00657700,0.00664988,1515419019.64485
0.00655600,0.00659004,1515419050.780891
