poloniex_price,binance_price,kucoin_price,time
0.00236170,0.00232700,0.002322,1514988589.416909
0.00236170,0.00232700,0.002322,1514988620.0429
0.00236170,0.00232600,0.002322,1514988650.858609
0.00236168,0.00232600,0.002322,1514988682.515677
0.00236168,0.00235000,0.002322,1514988713.236767
0.00236168,0.00235000,0.002322,1514988746.5170188
0.00236168,0.00234300,0.002322,1514988777.7497768
0.00236168,0.00233900,0.002322,1514988808.573076
0.00236167,0.00233900,0.00252343,1514988839.2829719
0.00236167,0.00230100,0.00252343,1514988871.969125
0.00232138,0.00230000,0.00252343,1514988902.650836
0.00232134,0.00230000,0.00252343,1514988935.345433
0.00232125,0.00229900,0.00252343,1514988966.168571
0.00231120,0.00229900,0.00252343,1514988996.8754199
0.00231953,0.00229800,0.00252343,1514989028.031171
0.00236147,0.00229900,0.00252343,1514989058.740017
0.00232000,0.00230000,0.00252343,1514989089.56319
0.00231765,0.00232700,0.00252336,1514989120.24151
0.00230865,0.00231500,0.00252336,1514989152.4396648
0.00230876,0.00229900,0.00252336,1514989183.132378
0.00230876,0.00229900,0.00252336,1514989214.288555
0.00230876,0.00229700,0.00252336,1514989245.044113
0.00230876,0.00229700,0.00252336,1514989275.7278159
0.00230936,0.00229800,0.00252336,1514989307.063744
0.00230944,0.00228100,0.00252336,1514989337.785063
0.00230944,0.00229500,0.00252336,1514989368.401458
0.00230965,0.00229300,0.00252336,1514989400.558491
0.00231760,0.00228900,0.00252336,1514989431.277219
0.00230986,0.00229300,0.00252336,1514989461.952307
0.00230986,0.00232700,0.00252336,1514989494.7636359
0.00230986,0.00232700,0.00252336,1514989526.517767
0.00231765,0.00232400,0.00252336,1514989557.333429
0.00231765,0.00232500,0.00252336,1514989588.055074
0.00231765,0.00232500,0.00252336,1514989618.7581499
0.00231765,0.00232500,0.00252336,1514989650.064506
0.00231765,0.00231200,0.00252336,1514989680.738894
0.00235787,0.00232100,0.00252336,1514989711.4998138
0.00231770,0.00231100,0.00252336,1514989742.105228
0.00230575,0.00229900,0.00252336,1514989772.7881348
0.00230575,0.00229100,0.00252336,1514989803.5225432
0.00230575,0.00229100,0.00252336,1514989834.4562528
0.00231110,0.00229400,0.00252336,1514989865.087141
0.00231110,0.00229400,0.00252336,1514989895.7698839
0.00231770,0.00229100,0.00252336,1514989926.41529
0.00231770,0.00229200,0.00252336,1514989957.108556
0.00230808,0.00228800,0.00252336,1514989987.8334599
0.00230806,0.00228800,0.00252336,1514990019.374455
0.00231770,0.00229800,0.00252336,1514990051.115407
0.00231770,0.00229800,0.00252336,1514990082.6539268
0.00231770,0.00229800,0.00252336,1514990113.479295
0.00231770,0.00231800,0.00252336,1514990144.477196
0.00231770,0.00229300,0.00252336,1514990175.17854
0.00231770,0.00231400,0.00252336,1514990205.788478
0.00231770,0.00231200,0.00252336,1514990236.467618
0.00231770,0.00231000,0.00252336,1514990267.9052138
0.00231770,0.00230000,0.00252336,1514990298.62688
0.00231770,0.00229900,0.00252336,1514990329.447058
0.00231770,0.00228800,0.00252336,1514990361.091989
0.00231158,0.00229900,0.00252336,1514990392.596898
0.00230859,0.00230800,0.00252336,1514990427.911627
0.00230860,0.00231000,0.00252336,1514990458.90129
0.00230860,0.00232200,0.00252336,1514990489.701717
0.00230860,0.00232200,0.00252336,1514990520.382797
0.00230860,0.00233300,0.00252336,1514990551.042434
0.00231346,0.00231000,0.00232215,1514990581.85888
0.00231345,0.00231600,0.00232215,1514990612.542895
0.00231052,0.00231600,0.00232215,1514990643.203995
0.00230860,0.00230000,0.00232215,1514990673.889449
0.00230860,0.00230000,0.00232215,1514990704.645598
0.00230860,0.00230000,0.00232215,1514990736.608734
0.00230808,0.00228800,0.00232215,1514990767.724451
0.00230808,0.00230000,0.00232215,1514990798.460843
0.00230808,0.00230000,0.00232215,1514990829.163862
0.00230808,0.00230000,0.00232217,1514990859.8483431
0.00230808,0.00228800,0.00232217,1514990890.561289
0.00230808,0.00230700,0.00232217,1514990921.488093
0.00230808,0.00228600,0.00232217,1514990952.5463161
0.00230575,0.00229400,0.00232217,1514990983.278236
0.00230575,0.00229400,0.00232217,1514991013.9970791
0.00230575,0.00227400,0.00232217,1514991044.739838
0.00230575,0.00228800,0.00232217,1514991075.43782
0.00230575,0.00228800,0.00232217,1514991106.259785
0.00230575,0.00227600,0.00232217,1514991136.9808881
0.00230575,0.00230100,0.00232217,1514991167.660254
0.00230860,0.00230500,0.00232217,1514991198.5241401
0.00230860,0.00230400,0.00232217,1514991230.268076
0.00230860,0.00229500,0.00232217,1514991262.52548
0.00230860,0.00227500,0.00232217,1514991293.244899
0.00230575,0.00228500,0.00232217,1514991323.950708
0.00230575,0.00227800,0.00232217,1514991354.687474
0.00230574,0.00227700,0.00232217,1514991386.1351712
